제목,내용,작성자,created_at,이미지,URL
스벅 아메리카노,내일까지라 무료나눔해요 쪽지 주세요,익명,2025-04-29T15:59:00,이미지 없음,https://everytime.kr/420883/v/378613179
애플 로직프로 리딤코드 삽니다,교육용 앱 번들 사신 분중에 로직프로 코드 안쓰신분 있으신가요? 8만원에 사겠습니다,익명,2025-04-29T15:18:00,이미지 없음,https://everytime.kr/420883/v/378609374
신인식 교수님 os기말족보 사요,쪽지주세요,익명,2025-04-29T03:16:00,이미지 없음,https://everytime.kr/420883/v/378573058
물전개 교재 한글판,물전개 책 한글판 구해요. 쪽지주세요.,익명,2025-04-28T20:40:00,이미지 없음,https://everytime.kr/420883/v/378535404
카이스트 야구 점퍼 대여 원합니다!,"카이스트 야구 점퍼 대여 원합니다! (검은색 야구 점퍼)사이즈는 S, L 각각 하나씩 대여를 원합니다.내일(29일 화요일) 오전 10시부터 세 시간 정도 대여하고 싶습니다.그래서 대여하는 것은 넉넉히 내일 오전 9시반 정도에 만나서 빌리고 싶습니다. (제가 교내의 편하신 장소로 찾아 뵙겠습니다)촬영에 사용할 것이고, 최대한 깨끗하게 사용하고 돌려드리겠습니다.각각 2만원에 대여하고자 합니다.하나씩 따로 빌려주셔도 괜찮고, 한 번에 두 벌 모두를 빌려주셔도 좋습니다.쪽지 부탁 드립니다.",익명,2025-04-28T17:47:00,이미지 없음,https://everytime.kr/420883/v/378518160
애플 매직 키보드 팝니다,"애플 정품 매직 키보드(Numeric keypad 포함)-색상 : 실버-가격 130,000(정가 : 쿠팡 기준 185,310)-박스 및 충전기 포함- 사용 많이 안함오른쪽,왼쪽에 미세한 찍힘 존재(5,6번 사진 참고)",익명,2025-04-27T18:07:00,"https://cf-ea.everytime.kr/attach_thumbnail/567/75416284/everytime-1745744848898.jpg?Expires=1746351232&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=bYAW2coLjZKevvQScRXZE44bUBEk6LigkB~myefVpFn-OhzNZ3qbyjMMVnYvLh1fTzjr05LsLEFhgMp9qmkvURr-kkj-LggYWurCXnghwT39t-CU3jMLejlP2SwIFnNbzOXAOfTA8rb7ZHb3z~MoQbusdS3D41biCyluk3Ks6yRxm3ePXfcBRQoy0nnunIB9mwdG0Suc-KnMs0MCMDIlJJ332BkE-KOStTXRXQAG1B2jRs7TQ6kryK8CYrvMaT7Ky5-edLdtwgyeOTDhQ38Nf06vp~RmB2EqlAuLqhPW-MJpY93fyBUpqxF6~P-rWBctJAtYHWbFPKaeiNy1kV7NYg__, https://cf-ea.everytime.kr/attach_thumbnail/796/75416285/everytime-1745744849829.jpg?Expires=1746351232&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=N~E70JmCrZP5MPvDj3Cyr4SQxAAGoH8208mx2ki~oF1wdj7sGXwq99ICLRA9IMiekKefPX2AXtS~46UCnO-jMebwWHp4jDQ7Ogk~WNgWKEvOakyCTW3JJKRBtZ135OHoCjzoIiETyLkyEEAygjBEdgnApQdmj-dfeNCywOa6BF5SwfM-8v53AIQbELoCQIt~O5UYm6gTyu~PdP6yE5K7zylLhnjVh797ZVDyN7G5LfGvckiblwuvrfbPFIdZTHOw5icF0jZLFJ0IQknlMaWhp~~UlMZTomVqvK1Yr-N6ImC~5uq4AnUhJSv6j3rwNEL3mFcdMpy9aVUqGuB9rEVy~w__, https://cf-ea.everytime.kr/attach_thumbnail/713/75416286/everytime-1745744850977.jpg?Expires=1746351232&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=lF0w~mBrEKvkZLMP0vXHe-KVkSLiBNga7VSajhkKuuDl-y9jaVd1Gi1PGNhWvNNAyX8Cuprj9N1nZOkk0uG4SPFWUvtezejQrkJWBsLj89wr7ncoKoyyqlUucL4oX66viUljZDA3W11tHWX8a0y8K2EPHGmgpy8ZwFb1Zo7JvZk2~zXGhR00HOSVpfA8LvkhcvwIB5DtCphlo3PVkNmSQ1SVW4RPc2E8pcIHaSTtHlqSzczWDvG4qGIAsxbI~tjidNcv5HSko~Ii-nmlxuAt0Fnz3lQBaoZAE4k2sweE1RQ6q9lQ7bAxmh-U~1OC9yPPBtX7QOS2klYj-RdtLD34Zg__, https://cf-ea.everytime.kr/attach_thumbnail/746/75416287/everytime-1745744851610.jpg?Expires=1746351232&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=m25fs6~AGW2xZTlXVr9~ShCQhPifW1u7dq6zENWmEr8fZNsIWCLtjgrY8JCbpnYUIRmRYCDTzxr09G-YeZyicL7bT9YKCGyMVx~28Yb-MhthTeHAh~vz-0Z4vhkg3Uaba5dwdbH5OTqBC6MuwYsmcEcRhiJqs8IXOpoq0aVrWBw17BxHhv4y0BuAui1igyaNIXWO7P96eZt~1BuNRVPhw60zCleY7TbiA8LRmvldWZE3drfdt42lH9bNrp7bQPYDgL76BLQ1O9BC8j0QXBk-2q7z9BhIxwLrX-1Nf5CG3bbqiLqxUKGPJuiNzlEscCytYz00RrparlRjiNMwO2CqJw__, https://cf-ea.everytime.kr/attach_thumbnail/910/75416288/everytime-1745744852256.jpg?Expires=1746351232&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=UqKGSJhF0uaLTG~gme131fbdnCBtQ2Srn0PiJTC72C8C6rrlNwcwUhA1Ba7YXz5Fx7Oru0ozf5daz4hYWJumHsPcvBcqGuKfjhXTWXPI2jYeJPlP4XnV4xivKaYErY6cBHYo6vIMlwNN7xfbw7aCON16tapOseWlA8PfgsGH35K4nDsnKKbM3aoP0cGdPi9~2VRmf5fsmJtpCkvpzDOnAppSmtNJ2DhjJ1FlKjrBVXQ9wJL52hO-h~xyFyoDVULcKVDaYR~FryerM95j5la~IuSC0FuQUX8jpZ1sJldazenbPXr9dQeleLFt3i0vGmdLBupvNhqZH3k38b-5HiHOqg__, https://cf-ea.everytime.kr/attach_thumbnail/101/75416289/everytime-1745744852897.jpg?Expires=1746351232&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=msDFc7DMLZ6bWQMahS~KxqTZxAAy4siEO6UH2oVeRVxcXAwBezcKO-nxxNotKfjlIFqTVvqXcdgPKfA8FwRsEENlWCiuuqtZj-wVWHLCuz-MbXJWLyMFTxziriVBeZBipeHYSJTxO1vc5XNsPzYTVwHnVFXTSjP~oPDG8iQlXEKdg82ySYUSW4AN9Dx7KjeyAxhBKPcmmIY3BtkwpJCKyhueADAB-Bggvr5LAihO8FQbJapOJ0qOSFMgQuI4oiK3YT0DkagMBlfLvivSNNHr6d-ay4M7nH-YjGzwMBs8wguDxG8-G7KkrXWES49Jhy7nSygVbUWh45zoFxRyukQADA__",https://everytime.kr/420883/v/378405183
인스리 교재 삽니다,oxford q skills for success: listening and speaking 4 student book,익명,2025-04-26T17:32:00,이미지 없음,https://everytime.kr/420883/v/378320305
메가박스 예매권 8000원,-05.17.5장 있습니다.편하게 문의 주세요.,익명,2025-04-26T16:42:00,이미지 없음,https://everytime.kr/420883/v/378316511
(사은품 증정)고퍼우드 i110 통기타 14만원,"고퍼우드 i110 통기타 판매합니다. (정품 보증서 포함)2024년 1월 구매 후 기타 튜닝을 위해 줄 몇 번 튕겨본 것 외에는 거의 사용하지 않았습니다. 소리 맑고 울림이 좋습니다. 입문용으로 인기 많은 모델이며, 구매했던 매장 사장님도 강력 추천하셨던 제품입니다.사은품:미개봉 새 기타줄 1세트튜너(튜닝기)카포가이드북스트랩(가방처럼 메고 연주 가능)피크 + 피크 케이스줄감개+리무버 세트극세사 융기타 스탠드궁금하신 점 편하게 문의주세요!",익명,2025-04-26T08:38:00,"https://cf-ea.everytime.kr/attach_thumbnail/578/75395970/everytime-1745624286541.jpg?Expires=1746351239&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=FlOd9JQ62Y9QzX9-7b4EmzQeZRBPmlRwWN9F64XgJO-Z72ZKlLFRlLjnky2Rlu82yUNbAI1cZbfWpUWc3UK-XTlrLbreFXHOjlU3QoRlFMXnLQ95Qvrzzb1dAegyevSOvu61vJoOW4wJb6dp3n-dXF6xHkorxiIIxiKck4KxoLbVbIJSWzhhXnh0ceUgcpGZpnI4Ir~ECG3~NujUGMTBS8QMWht4au5Ef6CPOZGKf~jgFDjs1f16ZK6XMGB-2d9G~OWsAz3ioy43PrnZJ78LD7ImhPvtcYLDQLaXfBHKjrX-atvQcVxOQBVbz04TPw5~KpHUkepJROqL3~dMrHZDlg__, https://cf-ea.everytime.kr/attach_thumbnail/541/75395971/everytime-1745624287239.jpg?Expires=1746351239&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=Bz85VrnolXm9TPfeSs9KcS2D04ioABvk~LRt85Dbe874QUf4iNAO4a7xI3CtyZcQKqWHmSVsKSA7bMV6hsuuGy3qxxdKG6CKClW3v2TlseIeArjv5e73M-uEUyFf8LXg7Lohlj11jQPP66FOoteTPoqZ4E6K72SvOwWfQUr5U0igVc0-nd1VtHhcNtt342rMRCuXd~305-lSVGyZTyOuCEu5XcsBl3opQPojs22CkzsqIAHIAvAkBRZSU2nTpXNO8Yj1wsCWAj9~UMd3TKqrNIHgHajVdoq6MgoBKx5MEpb089sWdBBLLgHzhxo~RwXS8ZUIFyQehXIn45nI1kzPKA__, https://cf-ea.everytime.kr/attach_thumbnail/2/75395972/everytime-1745624287796.jpg?Expires=1746351239&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=cqIt5ye9RCiz5IOaTGL2IijSJFAKOsLxAy2yR1taihw2MKTte0gfC0TBjm7ghrBf6odOIBzezZLlQvG8kY8yxn4NGKmXEgcfrLGCgDD8JGjxWsQ5nFpPyzRsAJF5XUM9qG6l5l7nNqXWCrxCCvaXnP40VlRpnjhpfNRlrLBtWwtwCahC2N~S8j1LYCGxzhbD~cWn5OPaPJSWBRy8nYcPXZZoIWlnLNO~q2uMU8AdddxnnbXVCI0iuxUY~o0959fNU8x5UiwuslxRmmctO4RqSBROA-~s-PjR8c-isDMb9AkvATm6xUmGLWl5qltfneJfolQz1FUbwIYYuyHuekngrQ__, https://cf-ea.everytime.kr/attach_thumbnail/12/75395973/everytime-1745624288361.jpg?Expires=1746351239&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=ESNb3DeqeJCiMNGcw2QAfzxOK1KuXmst7RsqITuUbUfpd1ydhpDKjUmWsTT9Hmwb-9wSosH0S~lKd1deVAPSkGxUFJTTYsLIONv8k4ipXfSpgNUcH4WEu44Icq5alT2bZ-VOZWmNhB-s0u86WGWgjAeNUWW-u9xr4ETpb8cLJmEgop-3Q0DcfAjjJxS3WrZ89Na15EBC9VSEExSagsTw9nKk6DCaxx3cojOpbdb0WtvOFCGTxSAHtPt-1QrtwKaZYw-MtXy76cVHHBUUvTEfBbL9QLXXUUXpLUSxi4Al2omOgeSQjZAvGfQEc8wkYtOlwWx6ULrPXSephnt2kNE1Ug__, https://cf-ea.everytime.kr/attach_thumbnail/69/75395974/everytime-1745624288821.jpg?Expires=1746351239&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=FEVsg6IFRq3ywCJGK-EsyIH~-igaZsmU-g3aeqVyKuX8dZHOFBoSp0AA3iQqJ9-aES55iqIkidFXfslA3gxtH6K4livJm8qG9c~BM7koj5J20cWT7hAnQsyGrtJKgbiKmYFmWBRJpN6bUIrDu-FTSbs87rQ5~akxJdn117B2pGderCFeioyRHlLnQdUIcxt2KSeu~SHo4G5F9Pb1o0CpO~AmSh5-Fd0Ys65HawWpMMKaKEPwJYC9Rp~Nsbvm8ahHDVcmDh0MRI3drTdpHBfyrcKIhMlPi6~NYxJ4Xzn2GMoBcuYZO~x65Gf2mQvy~QTTBwDS4IHvWRjQyeW6R~xDxQ__, https://cf-ea.everytime.kr/attach_thumbnail/799/75395975/everytime-1745624289331.jpg?Expires=1746351239&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=AUarEeC4XlJ4gUuiyYkYgibd5DoSoOPySfIhjYiprXL15qNRPoaBeMdB15VtYHwO-w4QAlWh19cIohXSdD~EyXihPIOwpVpP1o1yiumibalwrD0JpzSzSGcXkfAtA727TRaqF4k09Ulkhottflz1HmdNTF76iPEAbXYQO5l99ZWRCz~QyTxaTm69g2By8mQ1hQWWhHiOdsEyca22LusGeDeMBfzDD1xWPdfvx3MMWizkdRtIJHPzxhisqjjVvimyFzmXs9OhIUZemSf1~xLopdkXnfc1FjbOG23G3R~aZBfdVDucY1rn8bUGUZnqGAWonLrlG5Eo6jfMKPnBhcFS-Q__, https://cf-ea.everytime.kr/attach_thumbnail/590/75395976/everytime-1745624289734.jpg?Expires=1746351239&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=kNlmfYI~vTGSsmOMIh1iaVttzU-0DYq3Zq~59d3lXOdRgsM8x~r4houJG9O~ZoyqmkbYzXi4o2H36fFqtku0OwPs7bL12vtc0Vmx6Lt~9TedPQNat-zVGiClqfE50eGt5uoHIcHWHC2SQHjc~Eav4PQ-Pzwbp2j1IrEdSXgHLlzQ6DmqZ-7hjATNpnhfihywGpn39l01-O0TOfld4ijZDJzbaGqSRmYm3~qpZ5FvkJ8sX1H8szTP~xcpzcteoxrI-0jWSzxRAm40an0aofDpzDcT7ffJmccY0dd2jMo2J9hUeqZItQ4SSXp3eZTlU6NYV3cEeABRDPV6AC6zxeISBA__",https://everytime.kr/420883/v/378287975
크보 띠부씰 무료나눔합니다,두산팬분 아무나 가져가세요,익명,2025-04-26T00:45:00,https://cf-ea.everytime.kr/attach/578/75394254/everytime-1745595906389.jpg?Expires=1746351241&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=Bgwq7xm8sOMvk~NOARK2yR5SNOnFHW8KZYWmszgEuO-UribrJoNd1tsgjz~vLruHT0g6tYtnAtHpKwd3x8LttM6zHU5dNbzl7nRBfUDGBXT83rH2fI8hBYUCa-Iz4FYEs6Re6nYUyWgJXf2vqTAiVQmxMme-xo3sFEFCo9zpmz1mjT3GjjSCb7BOjnvO2m5cv9dH5uTeNIESZAGGE9JRPkfZMCoFfLWRsh9XQhBckZBTi23PNA1BhuFBfhLDQGqP9evCqRiH2JXylR65FQQgno3dWjsZn-mwh3gdDVnGhPJlmZUcmMJccTjQGZ2YzLZEJDLhXOCQOM533GEPRDF1vQ__,https://everytime.kr/420883/v/378273437
